	Epoch time,Latitude,Longitude,Radiation (cps)`																		
1682545840.1552634,37.875344,-122.258896,36.0
1682545845.5685365,37.875343,-122.2589,36.4
1682545850.905937,37.875341,-122.258908,41.8
1682545856.2348802,37.875333,-122.258918,35.6
1682545861.53811,37.875348,-122.258905,34.2
1682545866.8889558,37.875333,-122.258923,32.6
1682545872.2101805,37.875336,-122.258943,35.6
1682545877.5146537,37.875338,-122.258953,37.4
1682545882.8460805,37.875336,-122.258963,36.6
1682545888.190444,37.875331,-122.258965,27.2
1682545893.5077584,37.875328,-122.258969,38.2
1682545898.8622153,37.875331,-122.25898,40.2
1682545904.2009811,37.875331,-122.25898,41.4
1682545909.5473404,37.875331,-122.25898,37.2
1682545914.8810904,37.875331,-122.25898,39.2
1682545920.230504,37.875331,-122.25898,40.2
1682545925.5762608,37.875331,-122.25898,40.2
1682545930.9634604,37.875331,-122.25898,42.6
1682545936.3271148,37.875331,-122.25898,36.2
1682545941.6935,37.875331,-122.25898,27.6
1682545947.0698664,37.875331,-122.25898,24.4
1682545952.432198,37.875331,-122.25898,27.0
1682545957.8120131,37.875331,-122.25898,27.2
1682545963.187011,37.875331,-122.25898,28.2
1682545968.5571642,37.875331,-122.25898,31.4
1682545973.9313915,37.875331,-122.25898,30.0
1682545979.319313,37.875331,-122.25898,32.2
1682545984.7153661,37.875331,-122.25898,35.8
1682545990.129802,37.875331,-122.25898,33.0
1682545995.4991899,37.875331,-122.25898,33.0
1682546000.910993,37.875331,-122.25898,33.0
1682546006.3131635,37.875331,-122.25898,34.6
1682546011.7072952,37.875331,-122.25898,34.2
1682546017.1727505,37.875331,-122.25898,40.8
1682546022.5641046,37.875331,-122.25898,47.2
1682546027.989068,37.875331,-122.25898,31.0
1682546033.3818357,37.875331,-122.25898,34.6
1682546038.8113139,37.875331,-122.25898,34.2
1682546044.2460256,37.875331,-122.25898,37.6
1682546049.6721268,37.875331,-122.25898,34.2
1682546055.1220443,37.875331,-122.25898,35.4
1682546060.563197,37.875331,-122.25898,35.8
1682546066.050787,37.875331,-122.25898,37.2
1682546071.5199943,37.875248,-122.258843,37.4
1682546077.009133,37.875271,-122.258986,37.6
1682546082.4631352,37.875268,-122.259029,38.8
1682546087.921076,37.875286,-122.25907,38.4
1682546093.3927107,37.875286,-122.259076,38.4
1682546098.9080374,37.875291,-122.259073,41.6
1682546104.4000547,37.875293,-122.259076,32.0
1682546109.949089,37.875286,-122.259086,38.8
1682546115.5002894,37.875296,-122.259088,32.0
1682546121.1145272,37.875316,-122.259061,34.4
1682546126.5712934,37.87533,-122.259031,37.4
1682546132.0998409,37.875336,-122.259004,35.8
1682546137.6326149,37.87534,-122.258984,34.8
1682546143.1803684,37.875333,-122.258969,30.4
1682546148.6802375,37.87533,-122.258959,30.4
1682546154.2154868,37.875326,-122.258956,38.4
1682546159.7660894,37.875318,-122.258955,33.4
1682546165.3928497,37.87532,-122.258953,39.6
1682546171.1310143,37.875325,-122.258953,38.4
1682546176.7580564,37.87532,-122.25895,36.4
1682546182.330856,37.875318,-122.25895,33.6
1682546187.9122362,37.875316,-122.258951,37.6
1682546193.5482929,37.875315,-122.258951,34.0
1682546199.1447618,37.875316,-122.258956,35.8
1682546204.6995468,37.875318,-122.258961,39.4
1682546210.3423877,37.875318,-122.258965,31.4
1682546215.930212,37.87532,-122.258971,36.8
1682546221.5250254,37.875326,-122.258971,32.6
1682546227.1333444,37.875325,-122.258969,35.8
1682546232.6810596,37.875326,-122.258966,30.0
1682546238.2959094,37.875326,-122.258968,37.0
1682546243.864737,37.875325,-122.258969,38.2
1682546249.5468652,37.875328,-122.258969,37.8
1682546255.214598,37.875328,-122.258969,34.4
1682546260.9295242,37.875323,-122.258966,39.6
1682546266.6595106,37.87532,-122.258971,35.6
