Epoch time,Latitude,Longitude,Radiation (cps)
1682548218.1354303,37.867026,-122.260888,38.2
1682548223.4381158,37.867031,-122.260919,41.6
1682548228.7791262,37.867018,-122.260871,37.8
1682548234.1037364,37.86701,-122.26083,33.8
1682548239.397541,37.867001,-122.260801,40.6
1682548244.6979516,37.866993,-122.260756,34.2
1682548250.0388045,37.867,-122.26076,37.4
1682548255.341258,37.867018,-122.260793,40.8
1682548260.6855662,37.867028,-122.260808,35.8
1682548266.0187507,37.867023,-122.260808,35.8
1682548271.3264086,37.86703,-122.260806,37.0
1682548276.7018433,37.867031,-122.260823,41.6
1682548282.0492654,37.867043,-122.260891,37.4
1682548287.3847983,37.867056,-122.260953,34.0
1682548292.7545047,37.867075,-122.261006,36.4
1682548298.1037214,37.867081,-122.260996,39.4
1682548303.4857337,37.867065,-122.26095,31.2
1682548308.918747,37.867065,-122.260983,40.4
1682548314.2937658,37.867075,-122.261015,41.6
1682548319.6697047,37.867041,-122.260973,31.6
1682548325.046962,37.867015,-122.2609,36.0
1682548330.4157877,37.866998,-122.260826,36.0
1682548335.8507736,37.866985,-122.260736,38.6
1682548341.3035586,37.866968,-122.260673,37.4
1682548346.8049946,37.86695,-122.260623,45.0
1682548352.2030184,37.866926,-122.260528,36.4
1682548357.5926592,37.866931,-122.26056,36.6
1682548363.011482,37.866945,-122.26061,34.8
1682548368.4037971,37.866948,-122.260596,35.4
1682548373.8746402,37.866981,-122.260691,38.2
1682548379.2656298,37.866981,-122.260736,40.8
1682548384.6630242,37.866986,-122.260811,37.6
1682548390.1214826,37.866981,-122.260873,34.4
1682548395.5632844,37.866983,-122.260933,35.4
1682548401.0034094,37.866968,-122.260868,38.2
1682548406.4175513,37.866948,-122.260799,38.4
1682548411.9055483,37.866948,-122.260806,34.2
1682548417.3482578,37.866948,-122.260826,38.2
1682548422.8112824,37.866943,-122.260853,36.0
1682548428.249217,37.866933,-122.260873,35.8
1682548433.7529283,37.866953,-122.260928,42.4
1682548439.2069468,37.866966,-122.260946,37.0
1682548444.6519444,37.866986,-122.260976,31.0
1682548450.132837,37.867,-122.260991,35.4
1682548455.5842447,37.867008,-122.261013,36.0
1682548461.1045632,37.867001,-122.261033,35.0
1682548466.5467823,37.867005,-122.261041,40.8
1682548472.0427208,37.867008,-122.261036,36.2
1682548477.4791348,37.867008,-122.261041,36.8
1682548482.988972,37.867008,-122.261029,36.6
1682548488.4550836,37.86701,-122.261001,37.6
1682548494.0992258,37.867036,-122.261013,39.8
1682548499.596856,37.867035,-122.260988,33.6
1682548505.1426468,37.86702,-122.260938,38.2
1682548510.6166992,37.86701,-122.260926,33.2
1682548516.1030295,37.86701,-122.260913,36.0
1682548521.5884042,37.867003,-122.260926,37.8
1682548527.1039596,37.867011,-122.261026,38.6
1682548532.6019518,37.867003,-122.261026,36.6
1682548538.1522279,37.867003,-122.260998,34.8
1682548543.6402771,37.867045,-122.260955,39.4
1682548549.215488,37.86711,-122.260788,33.8
1682548554.7233944,37.86711,-122.260788,41.0
1682548560.2521405,37.86711,-122.260788,36.8
1682548565.7975714,37.86711,-122.260788,40.2
1682548571.396134,37.866976,-122.260316,38.2
1682548576.929015,37.866993,-122.260416,35.2
1682548582.4566631,37.86698,-122.260528,41.8
1682548588.0484922,37.866986,-122.26063,36.8
1682548593.570116,37.867001,-122.260673,30.4
1682548599.2237914,37.866989,-122.26072,38.6
1682548604.7733064,37.86698,-122.260711,40.0
1682548610.3532767,37.866998,-122.260793,37.8
1682548615.9366508,37.866996,-122.260808,38.8
1682548621.4741056,37.866978,-122.260788,35.8
1682548627.1185987,37.866988,-122.260758,34.4
1682548632.688841,37.867001,-122.260746,40.0
1682548638.3102016,37.86702,-122.260766,37.8
1682548643.9098568,37.867016,-122.260806,37.6
1682548649.5352848,37.867015,-122.260858,39.2
1682548655.1506858,37.867016,-122.26087,36.2
1682548660.7174902,37.867039,-122.260866,36.4
1682548666.3578541,37.867058,-122.260871,42.2
1682548672.0145187,37.867058,-122.260875,37.2
1682548677.7079926,37.867048,-122.260838,36.4
1682548683.3946192,37.867023,-122.260806,48.0
1682548689.061949,37.867008,-122.260805,33.8
1682548694.709666,37.866998,-122.260801,33.2
1682548700.350446,37.866971,-122.260783,31.2
1682548705.9965506,37.866956,-122.260753,35.4
1682548711.5953965,37.866973,-122.260795,33.4
1682548717.2546957,37.866981,-122.26083,35.4
1682548722.8957553,37.866995,-122.260791,38.4
1682548728.6028578,37.867016,-122.260764,32.2
1682548734.308152,37.867043,-122.260735,36.0
1682548740.0066,37.86701,-122.260735,39.8
1682548745.6237085,37.867,-122.260761,40.6
1682548751.3588028,37.867003,-122.260801,38.2
1682548757.0745528,37.867031,-122.260833,40.8
1682548762.72241,37.86703,-122.260886,33.8
1682548768.4120362,37.86703,-122.26091,39.8
1682548774.1343274,37.867018,-122.26089,39.6
1682548779.8368907,37.866995,-122.260868,32.4
1682548785.5167599,37.867005,-122.260855,41.2
1682548791.2366512,37.867015,-122.26087,35.6
1682548796.9073231,37.86703,-122.260895,39.8
1682548802.5530133,37.867025,-122.260903,31.2
1682548808.2658396,37.867011,-122.260918,40.2
1682548813.995083,37.867,-122.2609,42.4
